Target,Model,Condition,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Llama-3.1-8B-Instruct,bge-hybrid/hyde_hybrid,-0.5448,-0.6565,0.0943,0.0293
label_ideology,Llama-3.1-8B-Instruct,bge-hybrid/simple_hybrid,-0.5716,-0.7203,0.1604,0.0777
label_ideology,Llama-3.1-8B-Instruct,bge-hybrid/twostage_hybrid,-0.5186,-0.6579,0.1165,0.0542
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,-0.5658,-0.6902,0.1043,0.0359
label_ideology,Llama-3.1-8B-Instruct,bge/simple,-0.5398,-0.6421,0.0971,0.031
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,-0.5651,-0.7092,0.1196,0.0408
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,-0.6197,-0.773,0.1435,0.0526
label_ideology,Llama-3.1-8B-Instruct,e5/simple,-0.5673,-0.6871,0.1132,0.0233
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,-0.5347,-0.6595,0.1119,0.0172
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,-0.5962,-0.6914,0.076,0.0066
label_ideology,Llama-3.1-8B-Instruct,jina/simple,-0.5023,-0.6045,0.0877,0.0206
label_ideology,Ministral-3-3B-Instruct-2512,bge-hybrid/hyde_hybrid,-0.0976,-0.1162,-0.0332,-0.0021
label_ideology,Ministral-3-3B-Instruct-2512,bge-hybrid/simple_hybrid,-0.1514,-0.2457,0.0017,0.0408
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde,-0.1403,-0.2058,-0.0032,0.013
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple,-0.1578,-0.2252,0.0036,0.0493
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage,-0.2114,-0.303,0.0767,0.1304
label_ideology,Ministral-3-3B-Instruct-2512,e5/hyde,-0.1272,-0.1756,-0.0565,-0.0175
label_ideology,Ministral-3-3B-Instruct-2512,e5/simple,-0.1485,-0.2073,-0.022,0.0214
label_ideology,Ministral-3-3B-Instruct-2512,e5/twostage,-0.1581,-0.2361,-0.0057,0.0417
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,0.0096,0.1496,-0.0277,-0.014
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,0.0101,0.1465,-0.0107,0.0002
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,0.0631,0.2402,-0.0324,0.0005
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,0.0842,0.2611,-0.0713,-0.046
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,0.0881,0.2408,-0.0371,-0.0196
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,0.0241,0.1723,-0.0216,-0.0109
label_ideology,Qwen2.5-7B-Instruct,bge-hybrid/hyde_hybrid,0.0591,0.2303,-0.0245,-0.0157
label_ideology,Qwen2.5-7B-Instruct,bge-hybrid/simple_hybrid,0.0671,0.2535,-0.0042,-0.0211
label_ideology,Qwen2.5-7B-Instruct,bge-hybrid/twostage_hybrid,0.0985,0.2869,-0.0355,-0.0511
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,-0.0108,0.1398,0.0348,0.0374
label_ideology,Qwen2.5-7B-Instruct,bge/simple,0.0467,0.2258,-0.0003,-0.0245
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,0.0951,0.26,-0.042,-0.0741
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,0.0735,0.2261,0.0181,-0.0067
label_ideology,Qwen2.5-7B-Instruct,e5/simple,0.0571,0.2097,0.0472,0.0394
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,0.0482,0.221,0.0186,-0.0107
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,-0.2577,-0.1657,0.2339,0.209
label_ideology,Qwen2.5-7B-Instruct,jina/simple,0.0355,0.2189,0.0344,0.0049
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,0.072,0.2687,-0.025,-0.0419
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,0.0264,0.1819,0.0212,0.005
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,0.0277,0.2088,0.011,0.0074
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,0.0975,0.2882,-0.0306,-0.045
