group,score_type,n,pearson_r,pearson_p,spearman_r,spearman_p
Global,score_mean,4540,-0.0526,0.0004,-0.0559,0.0002
e5/hyde,score_mean,755,-0.0695,0.0564,-0.1202,0.0009
e5/simple,score_mean,760,-0.1336,0.0002,-0.1354,0.0002
e5/twostage,score_mean,757,-0.0993,0.0062,-0.085,0.0193
jina/hyde,score_mean,761,-0.0796,0.028,-0.1168,0.0012
jina/simple,score_mean,757,-0.1611,0.0,-0.1928,0.0
jina/twostage,score_mean,750,-0.1184,0.0012,-0.1178,0.0012
Global,score_mean_normalized,4540,-0.0876,0.0,-0.0894,0.0
e5/hyde,score_mean_normalized,755,-0.0695,0.0564,-0.1202,0.0009
e5/simple,score_mean_normalized,760,-0.1336,0.0002,-0.1354,0.0002
e5/twostage,score_mean_normalized,757,-0.0993,0.0062,-0.085,0.0193
jina/hyde,score_mean_normalized,761,-0.0796,0.028,-0.1168,0.0012
jina/simple,score_mean_normalized,757,-0.1611,0.0,-0.1928,0.0
jina/twostage,score_mean_normalized,750,-0.1184,0.0012,-0.1178,0.0012
