Target,Model,Condition,N_paired,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,774,-0.5351,-0.6284,0.0882,0.0089
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,775,-0.5431,-0.639,0.085,-0.0012
label_ideology,Llama-3.1-8B-Instruct,bge/simple,775,-0.5612,-0.6614,0.1083,0.0392
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,775,-0.5745,-0.7106,0.1338,0.0394
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,216,-0.6301,-0.6969,0.0914,0.0383
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,775,-0.6197,-0.773,0.1434,0.0527
label_ideology,Llama-3.1-8B-Instruct,e5/simple,774,-0.568,-0.6882,0.1139,0.0239
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,775,-0.5347,-0.6595,0.1119,0.0172
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,775,-0.5332,-0.6416,0.0923,0.0133
label_ideology,Llama-3.1-8B-Instruct,jina/simple,775,-0.5023,-0.6045,0.0877,0.0207
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,673,-0.5059,-0.6066,0.0987,0.0278
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,775,-0.6517,-0.8026,0.1628,0.0704
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,775,-0.6222,-0.7354,0.1462,0.0652
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,775,-0.5983,-0.7141,0.1296,0.0526
label_ideology,Llama-3.2-3B-Instruct,bge/hyde,729,0.0871,-0.0296,-0.0591,-0.0756
label_ideology,Llama-3.2-3B-Instruct,bge/hyde_hybrid,729,0.0539,-0.0773,-0.0503,-0.0854
label_ideology,Llama-3.2-3B-Instruct,bge/simple,727,0.137,0.0158,-0.0442,-0.046
label_ideology,Llama-3.2-3B-Instruct,bge/simple_hybrid,708,0.1347,0.0125,-0.0063,-0.023
label_ideology,Llama-3.2-3B-Instruct,bge/twostage,729,0.1856,0.0706,-0.0814,-0.106
label_ideology,Llama-3.2-3B-Instruct,bge/twostage_hybrid,707,0.2518,0.1526,-0.0585,-0.059
label_ideology,Llama-3.2-3B-Instruct,e5/hyde,710,0.2082,0.099,-0.0504,-0.0631
label_ideology,Llama-3.2-3B-Instruct,e5/simple,710,0.2014,0.0889,-0.0168,-0.0305
label_ideology,Llama-3.2-3B-Instruct,e5/twostage,708,0.247,0.1641,-0.0527,-0.0662
label_ideology,Llama-3.2-3B-Instruct,jina/hyde,657,0.1994,0.1101,-0.0317,-0.0471
label_ideology,Llama-3.2-3B-Instruct,jina/simple,646,0.1737,0.0901,-0.0374,-0.0488
label_ideology,Llama-3.2-3B-Instruct,jina/twostage,724,0.1602,0.0704,-0.0128,-0.0335
label_ideology,Llama-3.2-3B-Instruct,qwen3/hyde,719,0.1978,0.0785,-0.048,-0.0519
label_ideology,Llama-3.2-3B-Instruct,qwen3/simple,724,0.1983,0.1034,-0.0386,-0.0596
label_ideology,Llama-3.2-3B-Instruct,qwen3/twostage,716,0.2591,0.1636,-0.0585,-0.0722
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/hyde,775,0.2999,0.3531,-0.2797,-0.2259
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/hyde_hybrid,775,0.3041,0.3724,-0.3021,-0.2379
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/simple,775,0.3214,0.407,-0.3302,-0.2695
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/simple_hybrid,775,0.3173,0.4002,-0.3272,-0.2573
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/twostage,774,0.3005,0.3479,-0.2718,-0.1904
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/twostage_hybrid,775,0.3267,0.3709,-0.2955,-0.208
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/hyde,775,0.3123,0.3691,-0.2906,-0.2323
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/simple,775,0.3058,0.3913,-0.3058,-0.2349
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/twostage,775,0.2747,0.3294,-0.2507,-0.2027
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/hyde,775,0.3004,0.3659,-0.2865,-0.2215
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/simple,775,0.3215,0.3998,-0.3118,-0.2525
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/twostage,775,0.2883,0.3681,-0.3002,-0.2364
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,qwen3/hyde,775,0.293,0.3919,-0.3225,-0.2374
