group,score_column,n,pearson_r,pearson_p,spearman_r,spearman_p
bge/hyde,score_mean,2039,-0.0531,0.0164,-0.0568,0.0103
bge/hyde_hybrid,score_mean,2317,-0.0815,0.0001,-0.0957,0.0
bge/simple,score_mean,2319,-0.1373,0.0,-0.1257,0.0
bge/simple_hybrid,score_mean,2321,-0.0709,0.0006,-0.0713,0.0006
bge/twostage,score_mean,2124,-0.1152,0.0,-0.0962,0.0
bge/twostage_hybrid,score_mean,1548,-0.1469,0.0,-0.1357,0.0
e5/hyde,score_mean,3071,-0.0492,0.0064,-0.0617,0.0006
e5/simple,score_mean,3070,-0.0771,0.0,-0.0753,0.0
e5/twostage,score_mean,3074,-0.1066,0.0,-0.0886,0.0
jina/hyde,score_mean,1051,-0.0316,0.3053,-0.0721,0.0193
jina/simple,score_mean,2302,-0.0877,0.0,-0.0982,0.0
jina/twostage,score_mean,1523,-0.1145,0.0,-0.0961,0.0002
qwen3/hyde,score_mean,773,-0.0032,0.9288,-0.0056,0.8771
qwen3/simple,score_mean,775,-0.0558,0.1206,-0.0467,0.1942
qwen3/twostage,score_mean,773,-0.0932,0.0095,-0.0668,0.0635
Global,score_mean_normalized,29080,-0.066,0.0,-0.0668,0.0
score_type=cosine,score_mean_normalized,17717,-0.0717,0.0,-0.0783,0.0
score_type=cross_encoder,score_mean_normalized,9042,-0.1136,0.0,-0.0969,0.0
score_type=rrf_fusion,score_mean_normalized,2321,-0.0709,0.0006,-0.0713,0.0006
bge/hyde,score_mean_normalized,2039,-0.0531,0.0164,-0.0568,0.0103
bge/hyde_hybrid,score_mean_normalized,2317,-0.0815,0.0001,-0.0957,0.0
bge/simple,score_mean_normalized,2319,-0.1373,0.0,-0.1257,0.0
bge/simple_hybrid,score_mean_normalized,2321,-0.0709,0.0006,-0.0713,0.0006
bge/twostage,score_mean_normalized,2124,-0.1152,0.0,-0.0962,0.0
bge/twostage_hybrid,score_mean_normalized,1548,-0.1469,0.0,-0.1357,0.0
e5/hyde,score_mean_normalized,3071,-0.0492,0.0064,-0.0617,0.0006
e5/simple,score_mean_normalized,3070,-0.0771,0.0,-0.0753,0.0
e5/twostage,score_mean_normalized,3074,-0.1066,0.0,-0.0886,0.0
jina/hyde,score_mean_normalized,1051,-0.0316,0.3053,-0.0721,0.0193
jina/simple,score_mean_normalized,2302,-0.0877,0.0,-0.0982,0.0
jina/twostage,score_mean_normalized,1523,-0.1145,0.0,-0.0961,0.0002
qwen3/hyde,score_mean_normalized,773,-0.0032,0.9288,-0.0056,0.8771
qwen3/simple,score_mean_normalized,775,-0.0558,0.1206,-0.0467,0.1942
qwen3/twostage,score_mean_normalized,773,-0.0932,0.0095,-0.0668,0.0635
