Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Llama-3.1-8B-Instruct,no_rag,775,1.6841,2.315,0.4617,0.4972
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,1266,1.1374,1.6635,0.5555,0.516
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,1549,1.1402,1.6673,0.5514,0.5114
label_ideology,Llama-3.1-8B-Instruct,bge/simple,1550,1.1336,1.6633,0.5644,0.5323
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,1550,1.1111,1.5996,0.6086,0.5557
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,991,1.1115,1.6069,0.5718,0.5357
label_ideology,Llama-3.1-8B-Instruct,bge/twostage_hybrid,774,1.1655,1.6571,0.5782,0.5514
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,775,1.0644,1.542,0.6052,0.5498
label_ideology,Llama-3.1-8B-Instruct,e5/simple,774,1.1168,1.6279,0.5749,0.5205
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,775,1.1494,1.6555,0.5736,0.5144
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,248,1.0879,1.6236,0.5377,0.5038
label_ideology,Llama-3.1-8B-Instruct,jina/simple,775,1.1818,1.7105,0.5494,0.5178
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,673,1.182,1.7185,0.5558,0.5266
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,775,1.0324,1.5124,0.6245,0.5675
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,775,1.0619,1.5796,0.608,0.5624
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,775,1.0858,1.6009,0.5913,0.5497
label_ideology,Ministral-3-3B-Instruct-2512,no_rag,774,1.4917,1.9378,0.4831,0.4407
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde,772,1.3514,1.732,0.4799,0.4537
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde_hybrid,768,1.3941,1.8216,0.4499,0.4386
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple,769,1.3339,1.7126,0.4867,0.49
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple_hybrid,771,1.3403,1.6921,0.4848,0.4815
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage,575,1.2803,1.6348,0.5598,0.5711
label_ideology,Ministral-3-3B-Instruct-2512,e5/hyde,766,1.3645,1.7622,0.4266,0.4232
label_ideology,Ministral-3-3B-Instruct-2512,e5/simple,762,1.3432,1.7305,0.4611,0.4621
label_ideology,Ministral-3-3B-Instruct-2512,e5/twostage,771,1.3336,1.7017,0.4774,0.4824
label_ideology,Ministral-3-8B-Instruct-2512,no_rag,775,1.3111,1.7298,0.6084,0.5872
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,1.3207,1.8794,0.5807,0.5732
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,1.3212,1.8763,0.5977,0.5874
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,1.3742,1.97,0.576,0.5877
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,1.3953,1.9909,0.5371,0.5412
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,1.3992,1.9706,0.5713,0.5676
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,1.3352,1.9021,0.5868,0.5763
label_ideology,Qwen2.5-7B-Instruct,no_rag,774,1.4363,1.7116,0.3646,0.2347
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,775,1.4255,1.8514,0.3994,0.2721
label_ideology,Qwen2.5-7B-Instruct,bge/hyde_hybrid,775,1.4954,1.9419,0.3401,0.219
label_ideology,Qwen2.5-7B-Instruct,bge/simple,775,1.483,1.9374,0.3643,0.2102
label_ideology,Qwen2.5-7B-Instruct,bge/simple_hybrid,775,1.5034,1.9651,0.3604,0.2136
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,774,1.5314,1.9716,0.3226,0.1606
label_ideology,Qwen2.5-7B-Instruct,bge/twostage_hybrid,775,1.5348,1.9985,0.3291,0.1836
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,775,1.5098,1.9377,0.3827,0.228
label_ideology,Qwen2.5-7B-Instruct,e5/simple,774,1.4934,1.9213,0.4118,0.2741
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,772,1.4845,1.9326,0.3832,0.224
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,42,1.1786,1.5459,0.5985,0.4437
label_ideology,Qwen2.5-7B-Instruct,jina/simple,774,1.4718,1.9305,0.399,0.2396
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,775,1.5083,1.9803,0.3396,0.1928
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,774,1.4627,1.8935,0.3858,0.2397
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,775,1.464,1.9204,0.3756,0.2421
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,773,1.5338,1.9998,0.334,0.1897
label_ideology,llama-3.1-70b-instruct,no_rag,775,0.9382,1.3376,0.6872,0.6262
label_ideology,mistral-large-2512,no_rag,775,1.0499,1.3229,0.7386,0.6906
label_ideology,qwen-2.5-72b-instruct,no_rag,440,1.2559,1.4824,0.7374,0.6487
